method,n,CL_mean,CL_std,mean_mean,mean_std,std_mean,std_std,entropy_mean,entropy_std,renyi2_mean,renyi2_std,rms_contrast_mean,rms_contrast_std,robust_michelson_mean,robust_michelson_std,avg_gradient_mean,avg_gradient_std,tenengrad_mean,tenengrad_std,edge_density_mean,edge_density_std,edge_density_delta_pp_mean,edge_density_delta_pp_std,local_contrast_mean,local_contrast_std,local_std_mean_mean,local_std_mean_std,laplacian_var_mean,laplacian_var_std,high_freq_ratio_mean,high_freq_ratio_std,rms_contrast_gain_mean,rms_contrast_gain_std,robust_michelson_gain_mean,robust_michelson_gain_std,avg_gradient_gain_mean,avg_gradient_gain_std,tenengrad_gain_mean,tenengrad_gain_std,local_std_gain_mean,local_std_gain_std,laplacian_var_gain_mean,laplacian_var_gain_std,high_freq_ratio_gain_mean,high_freq_ratio_gain_std,mae_vs_input_mean,mae_vs_input_std,rmse_vs_input_mean,rmse_vs_input_std,psnr_vs_input_db_mean,psnr_vs_input_db_std,ssim_vs_input_global_mean,ssim_vs_input_global_std,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std
Input,72,nan,nan,134.18950243055556,27.11938390040583,27.981547007781895,14.000535837632286,6.481671214103699,0.7368796979835229,6.249713319223289,0.7756303266017139,0.10973155689326235,0.054904062108361906,0.3195730001509424,0.17516288759651308,7.883717429306772,5.274356725943459,4960.361437161763,4530.986723450032,0.15704618055555555,0.14925136878956416,0.0,0.0,0.05180599101974318,0.03273520279297381,10.380189874105984,6.3283306464196745,863.3237289138889,906.690657022335,0.0027185117224790803,0.0023879077636149563,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
Global HE,72,nan,nan,129.42830555555557,1.044510163586213,73.48237345836515,0.29938092680830636,6.378506104151408,0.7141212613867568,6.223929787709435,0.7552131091383851,0.28816617042496134,0.0011740428502286502,0.8931205818541216,0.006722958637543186,21.316110021538204,11.279618603723906,30439.33353000217,26860.102629956164,0.3213767361111111,0.0603950947555761,16.433055555555555,12.423343332057032,0.2144365448297726,0.09255217222063011,27.693314022488064,12.997141763107749,6022.840712360122,6003.260752261294,0.018153442255020816,0.01700772732978324,3.3440333816811973,1.685501785716474,3.501066286519683,1.528326147480811,3.4995260047211074,1.8154305661006425,12.262191281629844,12.928684144349926,3.3457518299618525,1.6962580044389084,16.698548960937334,17.832371724479234,10.417537598825255,7.933238067314225,46.869362152777775,11.264681046778524,55.21898051079918,13.515701850359518,13.620328251448683,2.61800008140552,0.5777106277343923,0.20863134359036004,nan,nan,nan,nan
Fixed CLAHE (CL=2.0),72,2.0,0.0,135.37937743055556,21.943311877772608,33.33172926611408,13.43011467013356,6.849539120992024,0.6597474543020111,6.634107955991243,0.715167450890523,0.13071266378868268,0.052667116353464945,0.3837480322236723,0.16062423305817153,15.830656581454807,9.619651574810884,17047.243456522625,15323.73176618858,0.25000625,0.1573706759885448,9.296006944444445,8.972108185493788,0.10546866147261527,0.061595171086442656,20.181860268115997,11.135643337773368,3256.8186291422485,3213.7639303086576,0.010165692672469757,0.009362905395480556,1.2534006424123942,0.24858132163720206,1.2772480888708597,0.29247796171838464,2.1205984276922183,0.23629123173696093,3.937773257043897,1.2264215436548576,2.0400320114110593,0.2561127360627051,4.349705681299949,1.2061855349101829,3.9541866563971757,1.027658644283749,13.962421527777778,6.331251004327195,17.650256517514258,7.532345304057053,24.051162188854708,3.9976781410528597,0.8688670551200163,0.06182195570504829,nan,nan,nan,nan
Fixed CLAHE (CL=4.0),72,4.0,0.0,133.0573611111111,13.55744836881415,42.10490676901074,15.820481386914619,7.225479861100514,0.5866067098965416,7.041861837290584,0.6696643885853635,0.16511728144710092,0.06204110347809654,0.5004865566236104,0.18734887258054223,24.16044741206699,13.640273955864252,37391.874691433375,32246.064750210415,0.33196180555555554,0.07929747622356242,17.4915625,11.223074385772106,0.17247207928448915,0.09791585121641613,30.44406447145674,15.68406927192278,7482.67185178447,7024.953116137616,0.02311380167439994,0.01983823522200347,1.6466994552516387,0.5063532269865967,1.7456721954102998,0.6134685153578457,3.3719770003192098,0.6066058910787252,9.568141344767096,4.285245096909727,3.1857308820014287,0.6326909932785224,11.397099708628755,4.472431193362335,10.011590723511707,4.145436197514725,26.184963541666665,9.989468597250639,32.519990407524446,12.259270045478308,18.533916255333157,3.443947608380603,0.6917136977079773,0.09465228193251193,nan,nan,nan,nan
Rule-based Adaptive CLAHE,72,8.789865078097428,1.431799186425212,131.65816631944443,7.065908023123087,54.3728521331124,14.321454398318172,7.643696553177303,0.3589246924962268,7.511361217910958,0.4481024455522546,0.21322687111024471,0.0561625662679144,0.6723170003797178,0.17354677921724812,34.15151717927721,13.829948336504948,65627.13080512153,39724.65618413321,0.37879548611111113,0.007532112387231679,22.174930555555555,14.44668771416488,0.2671820947693454,0.11327182551656519,42.87919884257846,14.959079685496382,13449.846751358133,10458.216050525918,0.04186456633679983,0.02683300648543921,2.275033417403535,0.8668820286573189,2.495397605824729,0.9936694236549367,5.639162980360044,2.218394012716383,26.354340532962993,19.940634191171092,5.189235340495508,2.0095879897887894,36.519426108902096,28.547064866766295,26.76380054153955,16.788617447189644,40.12102083333333,9.595817324817496,49.30134630921911,11.48267274003587,14.519423102469261,2.111896884570443,0.47822163070890256,0.12119394908965005,nan,nan,nan,nan
Adaptive Gamma Correction,72,0.975,0.13712336380576598,137.6602142361111,20.96864535319192,28.063720151444148,13.96232391529789,6.466041035122341,0.7410113400494116,6.23377856694421,0.7829768811191054,0.11005380451546726,0.05475421143254074,0.3113553750377021,0.16382590688395826,7.9206703553597135,5.2703309123743125,4986.805799484253,4520.927988162648,0.16190381944444443,0.15112774157042846,0.48576388888888883,1.8920526728148426,0.050322629382006,0.030564727313693446,10.430389147665766,6.330911507590568,860.5943538705121,901.2222180023141,0.00260744362074345,0.0022472656368304053,1.0020195850017013,0.05535321161327184,0.9800672314216939,0.12367027904093165,1.0030392349909079,0.05599537348965201,1.0026187808612503,0.13666069477152304,1.002858375503729,0.05596083531567667,1.004339333535912,0.1345777255072587,0.9698839897385709,0.2658218023543935,5.117845138888889,11.20137763468719,5.1900736375922785,11.31950582819888,19.099002270811027,1.6856071282322118,0.992882417685372,0.015560329753576792,nan,nan,nan,nan
MSR Retinex,72,nan,nan,156.46120347222222,41.34929908420101,30.867773753548747,9.073167173870711,6.732591476705339,0.48990881140281517,6.4610225633235725,0.5592516978313088,0.12105009315117155,0.035581047740669454,0.33241690203447205,0.1411793333812199,10.626121242841085,4.65313053020466,7900.934073554145,4757.321522071337,0.22795104166666666,0.1508280488072369,7.090486111111112,12.340068379570692,0.06760041568324798,0.024770031143829502,14.12730915678872,5.079475489853767,1213.1211204078907,1018.3524033277492,0.0037946075903568677,0.002424550400032314,1.3040313521980058,0.5940691534176383,1.2241170051231298,0.6204738998194477,1.8140403348378777,1.0126832040504155,4.1780613148218215,6.490022609536697,1.788823712283191,0.9961449862599562,4.072761182782657,6.590020025522298,3.23578761309137,3.9297130796136903,38.43204826388889,29.68582451826513,40.90536550331443,29.59274789441206,17.958003476109862,6.019134424780328,0.8420151619248973,0.1338505858503234,nan,nan,nan,nan
Proposed DT-QAT Student,72,3.5316600661250868,1.9879266153657182,131.1667534722222,14.596780482218046,39.90085816388989,16.54893608128054,7.123686538802253,0.582291500398064,6.926091469582534,0.6604434847522362,0.15647395358388191,0.06489778855404134,0.48074619690870934,0.20320030744932055,21.214205089542602,14.049878244334758,32962.90860070122,37110.2620446397,0.3107010416666667,0.10047852964526449,15.36548611111111,11.324348134699001,0.15522382017742428,0.1077588382183807,27.011066489749485,16.931787840575534,6148.992904651892,7261.061972144923,0.019593947510454908,0.021475033889052864,1.5506737483712703,0.4821313297398881,1.6686909979411815,0.63220989426967,2.9910703186851855,1.0807863665247717,8.196500898002137,6.571563007539431,2.8346377550269404,1.0497625365842211,9.86488458961001,7.309363639217403,9.26666782267049,8.403177213134242,22.375271180555554,13.833887380426551,27.92087864634256,17.35220970194817,21.088970239462206,6.132047224321894,0.739032333104799,0.15227599782689993,nan,nan,nan,nan
