class,method,n,CL_mean,CL_std,mean_mean,mean_std,std_mean,std_std,entropy_mean,entropy_std,renyi2_mean,renyi2_std,rms_contrast_mean,rms_contrast_std,robust_michelson_mean,robust_michelson_std,avg_gradient_mean,avg_gradient_std,tenengrad_mean,tenengrad_std,edge_density_mean,edge_density_std,edge_density_delta_pp_mean,edge_density_delta_pp_std,local_contrast_mean,local_contrast_std,local_std_mean_mean,local_std_mean_std,laplacian_var_mean,laplacian_var_std,high_freq_ratio_mean,high_freq_ratio_std,rms_contrast_gain_mean,rms_contrast_gain_std,robust_michelson_gain_mean,robust_michelson_gain_std,avg_gradient_gain_mean,avg_gradient_gain_std,tenengrad_gain_mean,tenengrad_gain_std,local_std_gain_mean,local_std_gain_std,laplacian_var_gain_mean,laplacian_var_gain_std,high_freq_ratio_gain_mean,high_freq_ratio_gain_std,mae_vs_input_mean,mae_vs_input_std,rmse_vs_input_mean,rmse_vs_input_std,psnr_vs_input_db_mean,psnr_vs_input_db_std,ssim_vs_input_global_mean,ssim_vs_input_global_std,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std
crazing,Input,12,nan,nan,156.31295416666666,17.2444717617337,29.821891224651836,2.7621918493974587,6.916550676027934,0.12347619682778685,6.703584848335693,0.1397747012430386,0.11694859303785034,0.010832124899597879,0.3124237172672954,0.057371963689541824,15.533790349960327,1.531777041313977,12025.234008789062,2545.212478858848,0.37327916666666666,0.011180054446389897,0.0,0.0,0.08886400920649369,0.001253960744093883,19.286416053771973,2.2966464449426973,2231.685925123229,365.2864966712681,0.006018668335552017,0.00022538335056543265,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
crazing,Global HE,12,nan,nan,128.71828125,0.11461348243166215,73.54826055897607,0.06264313388855218,6.787768046061198,0.12026917325985952,6.67168848327147,0.13568517875361336,0.2884245512116708,0.0002456593485825621,0.8952577721634134,0.003793421580075572,38.35020192464193,6.694601760223069,77511.21061197917,25633.31864577337,0.3760541666666667,0.004275097464775901,0.27749999999999997,0.8826355162497466,0.35909665127595264,0.05034326435953655,48.17784881591797,9.234766253054852,15025.313963030469,4649.345753034487,0.04625772358849645,0.014531623211934476,2.484857158986333,0.22035113203421447,2.9461304927220424,0.48198020092855837,2.4549441095067186,0.2520486783721133,6.319827671642145,1.2243088181834534,2.4818143575480125,0.2577645219928735,6.612561760275852,1.3714518510923435,7.724573851654079,2.524526329712737,45.18260625,5.645934557927552,54.6656575289348,8.564351953144172,13.482954410150658,1.4509775280109425,0.6655872714824919,0.052508469950847514,nan,nan,nan,nan
crazing,Fixed CLAHE (CL=2.0),12,2.0,0.0,142.51001666666667,7.064978379585822,43.354972349393044,3.0047530900357167,7.449291507403056,0.09749313378947723,7.295851140601713,0.1157791595280368,0.1700194994093845,0.01178334545112046,0.4996161992297861,0.016810630614042508,30.211682955423992,1.9606161819483983,44135.742838541664,6788.020515122718,0.39055416666666665,0.002376586392031194,1.7274999999999998,1.1202982557418277,0.19519068797429404,0.005873152854493872,37.21236562728882,3.1904604588267773,8411.745102783854,904.081406578154,0.02572473247225086,0.0010864697262340946,1.4685919275147872,0.19520722622075942,1.649243606883445,0.30109856650331135,1.9516106528773456,0.07788224944801053,3.724104087165253,0.28796859485628656,1.9375264263454806,0.07530102387076719,3.808209822563323,0.277397002600381,4.278142549388065,0.2105344687763428,22.747425,2.76593274720219,27.977438994535937,3.233363541186841,19.24957250965113,1.0291228240007981,0.8167473774492753,0.013922134308176255,nan,nan,nan,nan
crazing,Fixed CLAHE (CL=4.0),12,4.0,0.0,136.57355,1.2904633496609548,61.791295532787295,3.5361411826746934,7.866606831550598,0.057542520150415,7.819392900739143,0.07742614070730193,0.2423188060109306,0.013867220324214483,0.7363369687027005,0.04249152260691603,44.63363901774088,1.8066148206779542,95624.66276041667,10388.266459867764,0.38845833333333335,0.0037471403237750024,1.5179166666666666,1.3351956927277702,0.32590067634979886,0.02109710986591831,55.0124257405599,3.296592013337005,18956.729553212655,1301.1981507962846,0.05653154229124387,0.0038813639101720897,2.0933774870574413,0.2693384314878854,2.440194166305871,0.5010010156067671,2.8912287728985278,0.20612518804196875,8.164808112917315,1.132095964358958,2.873869266760407,0.19996433108827777,8.651067273796544,1.0997489520811983,9.408179687163761,0.775730779719121,40.95214583333333,3.0840643312517404,50.26631517752394,4.002806421021853,14.130755718397877,0.6969779954210114,0.5983098705762694,0.04030240926664398,nan,nan,nan,nan
crazing,Rule-based Adaptive CLAHE,12,8.05453308246221,0.3291693948569446,129.367275,0.6010742149004403,70.88509367326645,1.1570595863254103,7.9851393302281695,0.006596612522956289,7.97376912332223,0.01109249223193529,0.2779807595030057,0.004537488573825136,0.8744088619119741,0.011500457790461875,51.70580800374349,1.6647367811462594,127558.796875,5331.360011600949,0.386025,0.0038348284304397548,1.2745833333333336,1.338662338329052,0.4301384190718333,0.007747633942871286,63.68133703867594,1.1783296970636175,26135.16368323531,1866.0795764768286,0.07954250214000542,0.004491959646802728,2.3970051013165024,0.23970575950388223,2.8813130939709772,0.49240821860941136,3.3660903314243935,0.4301116916016145,11.144208612116476,2.865249046543737,3.3471366632664767,0.4196505490967215,12.141198177997387,3.0223540171460117,13.211207036327917,0.4243437545715078,50.081604166666665,1.7583209838518647,61.04908770545284,2.965138107823268,12.426599223029795,0.4214865381859404,0.5311306655138807,0.052991592607039034,nan,nan,nan,nan
crazing,Adaptive Gamma Correction,12,1.0,0.0,156.31295416666666,17.2444717617337,29.821891224651836,2.7621918493974587,6.916550676027934,0.12347619682778685,6.703584848335693,0.1397747012430386,0.11694859303785034,0.010832124899597879,0.3124237172672954,0.057371963689541824,15.533790349960327,1.531777041313977,12025.234008789062,2545.212478858848,0.37327916666666666,0.011180054446389897,0.0,0.0,0.08886400920649369,0.001253960744093883,19.286416053771973,2.2966464449426973,2231.685925123229,365.2864966712681,0.006018668335552017,0.00022538335056543265,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
crazing,MSR Retinex,12,nan,nan,172.80327499999999,15.556365741371545,28.05975223059461,3.9168665875542583,6.8142439524332685,0.20736160948310803,6.573100413456428,0.22126683977744668,0.1100382440415475,0.01536026112766376,0.2729684099637227,0.06713486563009977,16.989096482594807,2.647370758074421,14598.760416666666,4231.970811335298,0.37805,0.009522306347824465,0.4770833333333335,1.2688917109991797,0.09184387947122256,0.022307366029736018,21.100404739379883,2.966847121463842,2673.523707807448,871.3511136597008,0.006392106452646355,0.002989559147692154,0.9457607015257145,0.13757687227511142,0.8843724211935631,0.20490188955813804,1.1043952944721869,0.21150701750947576,1.270690783477114,0.46850237992732124,1.108780819897059,0.20638787763982488,1.2371252698707544,0.4846696586142992,1.0540476349180286,0.47736114320130957,19.1302,10.068817118302338,20.881346286627178,10.24837249649265,22.479468442787184,3.6081988490334944,0.946882096718923,0.03737295570462898,nan,nan,nan,nan
crazing,Proposed DT-QAT Student,12,3.385503022400651,1.8492259510814975,133.39902916666668,5.498513073031583,56.98314824538568,15.20092504680761,7.69441831111908,0.39670023049359676,7.616569295177226,0.48107709295378004,0.22346332645249287,0.05961147077179455,0.6872657508181629,0.18432797858598998,39.043166081110634,13.863973476685995,82915.6328125,44164.368402669505,0.3847125,0.005141127617733113,1.1433333333333329,0.8124460355039351,0.29640624796350795,0.11755418225490212,48.47669378916422,17.75345584282112,16163.793646915468,8512.834702158701,0.04941381971972684,0.025434585119686662,1.953307749504579,0.6126219252277567,2.344711812185273,0.8791578613801807,2.4510525267007046,0.72918969895137,6.356984893399867,2.942750994133732,2.439904054518159,0.7263054219494719,6.786582995598881,3.208942363041817,8.284529126302639,4.319980002366179,34.216254166666666,18.570428319624167,42.10261983329706,22.854495456085044,18.32191969438196,8.717613238257863,0.7017951360385135,0.17141232401284398,nan,nan,nan,nan
inclusion,Input,12,nan,nan,107.27071041666667,11.501792629770106,12.618170686682804,2.1557495432192697,5.510323643684387,0.21552347359127386,5.2671113769112194,0.1907716536739275,0.049483022300716877,0.008453919777330468,0.17140340817612873,0.007104562020826933,2.0697182218233743,0.2962828004213623,407.0613816579183,119.22600240434998,0.004270833333333333,0.0021940216636592404,0.0,0.0,0.01884059701114893,0.0013026080395420073,3.186628152926763,0.5132575913263094,30.601998577447915,7.027098208292897,0.00025895994500994374,2.532579048625094e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
inclusion,Global HE,12,nan,nan,130.8500125,0.4171609652950605,73.31321726039656,0.49965335039822767,5.450827240943909,0.19211104080701624,5.262330855741351,0.18810053742374788,0.28750281278586887,0.0019594249035224543,0.8907135721477788,0.012237617421012044,12.839882453282675,0.8556548118514975,13068.68798828125,2630.0212657629277,0.31866875,0.01291897443948945,31.439791666666668,1.1740651301883747,0.15496883417169252,0.01317827355711454,18.865952094395954,1.7172820802489628,1443.0184393522395,194.91444482254806,0.005791066524883111,0.0009213404001555497,5.976978982631041,1.0900565426544555,5.203797058151872,0.20261151745517617,6.319813909823809,0.9306709285689386,35.52700500585784,13.331118591531748,6.058661470989437,1.0105534187922443,49.52850931968626,12.08981050317194,22.383257579256348,2.9322276029230556,56.50773125,4.546474371673829,66.34939350562716,6.410532896763041,11.7296823714892,0.8133709708789094,0.32139862845834494,0.05474719244639319,nan,nan,nan,nan
