config,QB_mean,QB_std,QB_p90,QB_p95,QB_worst10,QN_mean,QN_std,QN_worst10,N
w/o Rich teacher,23.005093149038462,8.499745829763649,32.038720703125,32.9465576171875,34.41890171595982,3.608269332941035,0.6011434024111458,4.746272107901765,65
w/o trajectory selection,23.322769869290866,7.641839330014217,31.94735107421875,32.388598632812496,33.930385044642854,3.596619260013879,0.6075651466016674,4.774012718941896,65
w/o QAT (post-quant),23.542853252704326,8.358592093895693,33.07388916015625,34.8071044921875,36.020725795200896,3.6469216892586447,0.6462783394974932,4.850111442571218,65
Full (DT--QAT),23.389022122896634,7.726979238869157,31.99921875,32.3992431640625,33.78564453125,3.5936134653710545,0.6014547774948883,4.715532620805748,65
