image,config,CL,Q_BRISQUE,Q_NIQE
低照度20\dense_61.jpg,w/o Rich teacher,1.1708505307930936,23.40594482421875,3.4298750965525424
低照度20\dense_61.jpg,w/o trajectory selection,1.1204888340617332,23.39630126953125,3.4647560150884393
低照度20\dense_61.jpg,w/o QAT (post-quant),1.278245725987573,23.140869140625,3.3765236845066138
低照度20\dense_61.jpg,Full (DT--QAT),1.0886809368255939,23.39630126953125,3.4647560150884393
低照度20\dense_62.jpg,w/o Rich teacher,2.405367711340686,21.42425537109375,3.007197368834032
低照度20\dense_62.jpg,w/o trajectory selection,1.9996114230222464,20.9769287109375,3.077271650910823
低照度20\dense_62.jpg,w/o QAT (post-quant),1.5052136624952448,20.9071044921875,3.150893379157645
低照度20\dense_62.jpg,Full (DT--QAT),1.6200212193566925,20.6278076171875,3.1577675312055375
低照度20\dense_63.jpg,w/o Rich teacher,2.248798862588883,21.19781494140625,3.2481182776073814
低照度20\dense_63.jpg,w/o trajectory selection,1.8903785251842404,21.46807861328125,3.2047797179992656
低照度20\dense_63.jpg,w/o QAT (post-quant),1.4786863959835397,21.21270751953125,3.2557851397337707
低照度20\dense_63.jpg,Full (DT--QAT),1.5530026637226337,21.01922607421875,3.229794366069425
低照度20\dense_64.jpg,w/o Rich teacher,3.361031935031984,27.244140625,3.400755940679663
低照度20\dense_64.jpg,w/o trajectory selection,3.215208008934876,27.32135009765625,3.406609420101169
低照度20\dense_64.jpg,w/o QAT (post-quant),1.9135730643928406,26.720947265625,3.417726179470573
低照度20\dense_64.jpg,Full (DT--QAT),2.4222005109345317,27.1490478515625,3.385074832784488
低照度20\dense_65.jpg,w/o Rich teacher,3.542419349316969,32.17962646484375,3.6734470895550073
低照度20\dense_65.jpg,w/o trajectory selection,3.2787602375154776,32.01116943359375,3.650855798875203
低照度20\dense_65.jpg,w/o QAT (post-quant),1.9464733846922864,31.3521728515625,3.710225912562898
低照度20\dense_65.jpg,Full (DT--QAT),2.65180773270396,31.67333984375,3.706858676623948
低照度20\dense_66.jpg,w/o Rich teacher,2.8822200284864317,24.63507080078125,3.205960130853125
低照度20\dense_66.jpg,w/o trajectory selection,2.319403661337848,23.787353515625,3.1863588760061896
低照度20\dense_66.jpg,w/o QAT (post-quant),1.575033144570146,23.973388671875,3.2630034460159605
低照度20\dense_66.jpg,Full (DT--QAT),1.8313806068196838,23.9178466796875,3.1857386493791333
低照度20\dense_67.jpg,w/o Rich teacher,2.0831560228151718,27.21990966796875,4.063534656198177
低照度20\dense_67.jpg,w/o trajectory selection,1.7676073493803017,27.8873291015625,4.010861632921164
低照度20\dense_67.jpg,w/o QAT (post-quant),1.4110134484518873,28.99749755859375,4.103313076313432
低照度20\dense_67.jpg,Full (DT--QAT),1.4547447019418247,28.74896240234375,4.054871845375451
低照度20\dense_68.jpg,w/o Rich teacher,2.248798862588883,21.19781494140625,3.2481182776073814
低照度20\dense_68.jpg,w/o trajectory selection,1.8903785251842404,21.46807861328125,3.2047797179992656
低照度20\dense_68.jpg,w/o QAT (post-quant),1.4786863959835397,21.21270751953125,3.2557851397337707
低照度20\dense_68.jpg,Full (DT--QAT),1.5530026637226337,21.01922607421875,3.229794366069425
低照度20\dense_69.jpg,w/o Rich teacher,1.4464061676732423,25.4464111328125,3.4952397465030325
低照度20\dense_69.jpg,w/o trajectory selection,1.3499413889981569,25.204345703125,3.50902227750608
低照度20\dense_69.jpg,w/o QAT (post-quant),1.3084519014316573,25.1162109375,3.4991206267898893
低照度20\dense_69.jpg,Full (DT--QAT),1.2645707261861303,25.1162109375,3.4991206267898893
低照度20\dense_70.jpg,w/o Rich teacher,1.496269702593627,18.68988037109375,3.2744159110153697
低照度20\dense_70.jpg,w/o trajectory selection,1.2915697325501925,18.7640380859375,3.2951073891150156
低照度20\dense_70.jpg,w/o QAT (post-quant),1.2809893039895053,18.7640380859375,3.2951073891150156
低照度20\dense_70.jpg,Full (DT--QAT),1.231874443098481,18.99737548828125,3.288833198310363
低照度20\dense_71.jpg,w/o Rich teacher,3.348012728371598,30.4315185546875,4.34477585478214
低照度20\dense_71.jpg,w/o trajectory selection,3.4114002448731906,30.37835693359375,4.27205488431679
低照度20\dense_71.jpg,w/o QAT (post-quant),2.3247742753117735,33.26556396484375,4.459635375699837
低照度20\dense_71.jpg,Full (DT--QAT),2.921777398970671,31.181884765625,4.379619901060499
低照度20\dense_72.jpg,w/o Rich teacher,2.548838287621501,23.9161376953125,3.2545046491601197
低照度20\dense_72.jpg,w/o trajectory selection,2.1542542421389155,24.13629150390625,3.1986235296462278
低照度20\dense_72.jpg,w/o QAT (post-quant),1.5056330800897828,24.2166748046875,3.2358038087185728
低照度20\dense_72.jpg,Full (DT--QAT),1.664514007308856,24.68133544921875,3.212981153130342
低照度20\dense_73.jpg,w/o Rich teacher,2.8322167043833626,31.91461181640625,3.2409000872855134
低照度20\dense_73.jpg,w/o trajectory selection,2.311584171224526,32.11871337890625,3.347725776975302
低照度20\dense_73.jpg,w/o QAT (post-quant),1.5576398905138369,32.827392578125,3.3861354725714854
低照度20\dense_73.jpg,Full (DT--QAT),1.7933292114916919,32.1031494140625,3.372951315433186
低照度20\dense_74.jpg,w/o Rich teacher,2.196231016350417,32.7945556640625,3.9117717544513857
低照度20\dense_74.jpg,w/o trajectory selection,1.835856357234209,33.0203857421875,3.930251534855216
低照度20\dense_74.jpg,w/o QAT (post-quant),1.447580503423357,33.23822021484375,3.966104327313054
低照度20\dense_74.jpg,Full (DT--QAT),1.505974172549274,33.46685791015625,4.016127509033982
低照度20\dense_75.jpg,w/o Rich teacher,2.646484966720006,30.53021240234375,3.696190392698159
低照度20\dense_75.jpg,w/o trajectory selection,2.154077937148566,29.8114013671875,3.7095619029230327
低照度20\dense_75.jpg,w/o QAT (post-quant),1.5263700671082086,29.9766845703125,3.7476766335676106
低照度20\dense_75.jpg,Full (DT--QAT),1.6982720933000013,29.74505615234375,3.71802223824739
低照度20\dense_76.jpg,w/o Rich teacher,2.8642085802596,31.12164306640625,3.6046098548444547
低照度20\dense_76.jpg,w/o trajectory selection,2.3120433151119184,30.7789306640625,3.729602907122553
低照度20\dense_76.jpg,w/o QAT (post-quant),1.5621438455447472,31.16766357421875,3.886219410420482
低照度20\dense_76.jpg,Full (DT--QAT),1.8104764319440636,31.07635498046875,3.789276255737933
低照度20\dense_77.jpg,w/o Rich teacher,3.047193026910345,31.60540771484375,3.733696936791178
低照度20\dense_77.jpg,w/o trajectory selection,2.540650448833643,31.489013671875,3.798698869938573
低照度20\dense_77.jpg,w/o QAT (post-quant),1.631603128417837,31.7802734375,4.164047684935811
低照度20\dense_77.jpg,Full (DT--QAT),1.9578144672897273,31.84332275390625,4.00855567418018
低照度20\dense_78.jpg,w/o Rich teacher,3.122143170995517,32.98455810546875,3.5437294658617358
低照度20\dense_78.jpg,w/o trajectory selection,2.6053954968913966,32.44195556640625,3.6174133593980313
低照度20\dense_78.jpg,w/o QAT (post-quant),1.6522590093211624,32.542724609375,3.818750413328153
低照度20\dense_78.jpg,Full (DT--QAT),2.0446591894011474,32.41461181640625,3.7436373158991754
低照度20\dense_79.jpg,w/o Rich teacher,3.1801908147292597,29.46807861328125,3.610695436382086
低照度20\dense_79.jpg,w/o trajectory selection,2.6894792196945714,29.18719482421875,3.674581143086472
低照度20\dense_79.jpg,w/o QAT (post-quant),1.692448064581394,28.78173828125,3.793777961966379
低照度20\dense_79.jpg,Full (DT--QAT),2.1143331917932557,29.4261474609375,3.8324240999212793
低照度20\dense_80.jpg,w/o Rich teacher,1.73658939754238,25.64215087890625,3.6531334755141733
低照度20\dense_80.jpg,w/o trajectory selection,1.5879790217595902,25.4691162109375,3.656671585451039
低照度20\dense_80.jpg,w/o QAT (post-quant),1.4132765652882997,25.07159423828125,3.6342572598802647
低照度20\dense_80.jpg,Full (DT--QAT),1.4144883721208177,25.07159423828125,3.6342572598802647
室内13\11.png,w/o Rich teacher,0.1,13.8779296875,3.877554400895131
室内13\11.png,w/o trajectory selection,0.4454699425451966,14.276123046875,3.7006031483540767
室内13\11.png,w/o QAT (post-quant),0.1,13.8779296875,3.877554400895131
室内13\11.png,Full (DT--QAT),0.62668079627637,14.322509765625,3.698338252524645
室内13\231.png,w/o Rich teacher,1.0347942818100144,6.8843994140625,5.039324146466418
室内13\231.png,w/o trajectory selection,0.1,9.17010498046875,5.158683656548744
室内13\231.png,w/o QAT (post-quant),0.1,9.17010498046875,5.158683656548744
室内13\231.png,Full (DT--QAT),2.2911213374304062,7.65875244140625,4.7422331226210135
室内13\232.png,w/o Rich teacher,0.1,5.95867919921875,4.831563873784548
室内13\232.png,w/o trajectory selection,0.1,5.95867919921875,4.831563873784548
室内13\232.png,w/o QAT (post-quant),0.1,5.95867919921875,4.831563873784548
室内13\232.png,Full (DT--QAT),0.1,5.95867919921875,4.831563873784548
室内13\233.png,w/o Rich teacher,0.1,23.46221923828125,3.6497936922830063
室内13\233.png,w/o trajectory selection,0.1,23.46221923828125,3.6497936922830063
室内13\233.png,w/o QAT (post-quant),0.1,23.46221923828125,3.6497936922830063
室内13\233.png,Full (DT--QAT),0.1,23.46221923828125,3.6497936922830063
室内13\235.png,w/o Rich teacher,0.1,22.14312744140625,3.5331723203481396
室内13\235.png,w/o trajectory selection,0.1,22.14312744140625,3.5331723203481396
室内13\235.png,w/o QAT (post-quant),0.1,22.14312744140625,3.5331723203481396
室内13\235.png,Full (DT--QAT),0.1,22.14312744140625,3.5331723203481396
室内13\236.png,w/o Rich teacher,2.7604288327415074,14.38330078125,4.820572300963992
室内13\236.png,w/o trajectory selection,3.3126547842974814,15.12451171875,4.846745785487009
室内13\236.png,w/o QAT (post-quant),1.8175671351643667,13.57293701171875,4.8410888963605165
室内13\236.png,Full (DT--QAT),2.9868558373754297,14.66790771484375,4.901703018833259
室内13\237.png,w/o Rich teacher,3.769606948364832,15.24090576171875,4.843891227627626
室内13\237.png,w/o trajectory selection,3.082588392344512,14.5523681640625,4.824600082285996
室内13\237.png,w/o QAT (post-quant),4.2875166460616905,15.85546875,4.890669011716116
室内13\237.png,Full (DT--QAT),3.844673442420442,15.43487548828125,4.802270076991087
室内13\238.png,w/o Rich teacher,1.9850707426778293,12.469482421875,4.66482558870031
室内13\238.png,w/o trajectory selection,2.9877044588016126,14.11822509765625,4.73276801671751
室内13\238.png,w/o QAT (post-quant),0.23187188162113692,14.3992919921875,4.897785886092372
室内13\238.png,Full (DT--QAT),2.227803471828799,12.92120361328125,4.707230635640864
室内13\239.png,w/o Rich teacher,0.1,19.5257568359375,3.674062907378856
室内13\239.png,w/o trajectory selection,0.1,19.5257568359375,3.674062907378856
室内13\239.png,w/o QAT (post-quant),0.1,19.5257568359375,3.674062907378856
室内13\239.png,Full (DT--QAT),0.1,19.5257568359375,3.674062907378856
室内13\240.png,w/o Rich teacher,5.871258086357879,18.76397705078125,3.659647007456521
室内13\240.png,w/o trajectory selection,6.212255398852372,18.88848876953125,3.6577360161953085
室内13\240.png,w/o QAT (post-quant),5.83517892344422,18.642578125,3.6744717123831094
室内13\240.png,Full (DT--QAT),5.897623692627365,18.76397705078125,3.659647007456521
室内13\241.png,w/o Rich teacher,6.300723927229091,22.626220703125,4.120854689124122
室内13\241.png,w/o trajectory selection,5.710444093573795,21.78204345703125,4.060276993163925
室内13\241.png,w/o QAT (post-quant),9.464330737231355,24.9239501953125,4.393947651207285
室内13\241.png,Full (DT--QAT),5.957149231535725,22.13958740234375,4.078682620572347
室内13\243.png,w/o Rich teacher,3.8895487622934852,20.02020263671875,3.7247387591615366
室内13\243.png,w/o trajectory selection,3.891530664929094,20.0653076171875,3.7099575727198
室内13\243.png,w/o QAT (post-quant),3.985816076753309,20.0250244140625,3.7076109779667568
室内13\243.png,Full (DT--QAT),3.76296915406716,19.892333984375,3.6598852758868565
室内13\244.png,w/o Rich teacher,0.4624091910544803,8.139892578125,3.634491967250016
室内13\244.png,w/o trajectory selection,1.779241875244366,19.1256103515625,3.8167065175004575
室内13\244.png,w/o QAT (post-quant),0.39031238789658007,8.14385986328125,3.5960452851504168
室内13\244.png,Full (DT--QAT),2.0320869103450434,20.38067626953125,3.866267466289443
户外3\562.png,w/o Rich teacher,0.1,28.963134765625,3.898857609993511
户外3\562.png,w/o trajectory selection,0.15353034968859736,28.89080810546875,3.946054426635762
户外3\562.png,w/o QAT (post-quant),0.1,28.963134765625,3.898857609993511
户外3\562.png,Full (DT--QAT),0.5285645186902822,28.85797119140625,3.9999320613759126
户外3\566.png,w/o Rich teacher,0.1,26.53741455078125,4.431207973302556
户外3\566.png,w/o trajectory selection,0.1,26.53741455078125,4.431207973302556
户外3\566.png,w/o QAT (post-quant),0.1,26.53741455078125,4.431207973302556
户外3\566.png,Full (DT--QAT),0.1,26.53741455078125,4.431207973302556
户外3\714.png,w/o Rich teacher,0.1,30.46307373046875,4.592519644466908
户外3\714.png,w/o trajectory selection,0.1,30.46307373046875,4.592519644466908
户外3\714.png,w/o QAT (post-quant),0.1,30.46307373046875,4.592519644466908
户外3\714.png,Full (DT--QAT),0.1,30.46307373046875,4.592519644466908
正常街道10\125.png,w/o Rich teacher,0.7339906401389459,34.7310791015625,4.134099908948947
正常街道10\125.png,w/o trajectory selection,2.1488700759202684,31.85162353515625,3.658472669322989
正常街道10\125.png,w/o QAT (post-quant),0.6649497026047945,35.09136962890625,4.176528812092135
正常街道10\125.png,Full (DT--QAT),1.8287353357385119,32.3377685546875,3.7572993600196885
正常街道10\126.png,w/o Rich teacher,1.5665148077848163,31.6072998046875,3.73788648189935
正常街道10\126.png,w/o trajectory selection,2.0653383707423827,30.70770263671875,3.5380799324604952
正常街道10\126.png,w/o QAT (post-quant),0.2624763895239154,35.74371337890625,4.3267264923735
正常街道10\126.png,Full (DT--QAT),1.384265760017268,31.80517578125,3.82745086523159
正常街道10\290.png,w/o Rich teacher,1.200122205879222,37.27557373046875,4.329461441067292
正常街道10\290.png,w/o trajectory selection,1.1986443903788246,37.27557373046875,4.329461441067292
正常街道10\290.png,w/o QAT (post-quant),0.1,43.44873046875,4.738469129029323
正常街道10\290.png,Full (DT--QAT),2.687073798596714,35.43035888671875,4.004260089633888
正常街道10\311.png,w/o Rich teacher,0.1,26.948486328125,4.044986025559906
正常街道10\311.png,w/o trajectory selection,0.21005175512529056,26.87176513671875,4.037347072792048
正常街道10\311.png,w/o QAT (post-quant),0.1,26.948486328125,4.044986025559906
正常街道10\311.png,Full (DT--QAT),0.1,26.948486328125,4.044986025559906
正常街道10\Test_56.jpg,w/o Rich teacher,0.1,13.27069091796875,2.884252971889587
正常街道10\Test_56.jpg,w/o trajectory selection,0.1,13.27069091796875,2.884252971889587
正常街道10\Test_56.jpg,w/o QAT (post-quant),0.1,13.27069091796875,2.884252971889587
正常街道10\Test_56.jpg,Full (DT--QAT),0.6822283128084832,11.06146240234375,2.6116915108214633
正常街道10\Test_57.jpg,w/o Rich teacher,0.1,24.11407470703125,2.004002369397409
正常街道10\Test_57.jpg,w/o trajectory selection,0.1,24.11407470703125,2.004002369397409
正常街道10\Test_57.jpg,w/o QAT (post-quant),0.1,24.11407470703125,2.004002369397409
正常街道10\Test_57.jpg,Full (DT--QAT),0.1,24.11407470703125,2.004002369397409
正常街道10\Test_58.jpg,w/o Rich teacher,0.1,23.8509521484375,2.15466096731268
正常街道10\Test_58.jpg,w/o trajectory selection,0.1,23.8509521484375,2.15466096731268
正常街道10\Test_58.jpg,w/o QAT (post-quant),0.1,23.8509521484375,2.15466096731268
正常街道10\Test_58.jpg,Full (DT--QAT),0.1,23.8509521484375,2.15466096731268
正常街道10\Test_59.jpg,w/o Rich teacher,0.1,25.23895263671875,2.0330068667010885
正常街道10\Test_59.jpg,w/o trajectory selection,0.1,25.23895263671875,2.0330068667010885
正常街道10\Test_59.jpg,w/o QAT (post-quant),0.1,25.23895263671875,2.0330068667010885
正常街道10\Test_59.jpg,Full (DT--QAT),0.1,25.23895263671875,2.0330068667010885
正常街道10\Test_60.jpg,w/o Rich teacher,1.0782429413351684,32.1214599609375,3.2572082781932923
正常街道10\Test_60.jpg,w/o trajectory selection,1.2013313831344774,32.1751708984375,3.246966959652406
正常街道10\Test_60.jpg,w/o QAT (post-quant),0.1,33.6700439453125,3.4179677161523685
正常街道10\Test_60.jpg,Full (DT--QAT),1.1502681298729973,32.115234375,3.262005218067582
正常街道10\Test_61.jpg,w/o Rich teacher,0.5415171417392595,38.845458984375,3.194637665013734
正常街道10\Test_61.jpg,w/o trajectory selection,0.31964585433635684,38.4697265625,3.2500034475848247
正常街道10\Test_61.jpg,w/o QAT (post-quant),0.1,37.68743896484375,3.303083637465561
正常街道10\Test_61.jpg,Full (DT--QAT),0.6847593930838113,38.63153076171875,3.1591752997079787
过曝5\dense_51.jpg,w/o Rich teacher,11.939855898669006,28.362060546875,3.3653669943222333
过曝5\dense_51.jpg,w/o trajectory selection,10.79911207908709,28.16021728515625,3.3665895693668553
过曝5\dense_51.jpg,w/o QAT (post-quant),13.032872004353772,28.38702392578125,3.3668592138702453
过曝5\dense_51.jpg,Full (DT--QAT),10.483191875992421,27.92474365234375,3.3413587052500646
过曝5\dense_52.jpg,w/o Rich teacher,12.168689739459913,27.79583740234375,3.4897448257628754
过曝5\dense_52.jpg,w/o trajectory selection,10.996533567454742,27.58050537109375,3.489811867054358
过曝5\dense_52.jpg,w/o QAT (post-quant),13.21518434003335,27.8775634765625,3.483570212986884
过曝5\dense_52.jpg,Full (DT--QAT),10.719028982209295,27.66015625,3.487674342502489
过曝5\dense_53.jpg,w/o Rich teacher,12.0995905446561,29.78387451171875,2.9402010990236547
过曝5\dense_53.jpg,w/o trajectory selection,10.916867697600809,29.56597900390625,2.9145107105263257
过曝5\dense_53.jpg,w/o QAT (post-quant),13.101104579631574,30.14373779296875,2.942510182876323
过曝5\dense_53.jpg,Full (DT--QAT),10.669854500169707,29.52154541015625,2.905767411235956
过曝5\dense_54.jpg,w/o Rich teacher,10.823115504436107,28.7120361328125,3.276368391056645
过曝5\dense_54.jpg,w/o trajectory selection,9.803952068162035,28.8272705078125,3.2539225370142293
过曝5\dense_54.jpg,w/o QAT (post-quant),11.949263152675957,28.8511962890625,3.3038422144659263
过曝5\dense_54.jpg,Full (DT--QAT),9.563759058290252,28.859375,3.2498308654113734
过曝5\dense_55.jpg,w/o Rich teacher,8.073296310906718,31.02435302734375,3.0075479499841755
过曝5\dense_55.jpg,w/o trajectory selection,8.135099148229598,30.95965576171875,2.988237136514098
过曝5\dense_55.jpg,w/o QAT (post-quant),8.787452541868898,31.00592041015625,3.0056361748114804
过曝5\dense_55.jpg,Full (DT--QAT),7.708897775035605,30.681640625,2.9978701965356547
雾霾7\494.png,w/o Rich teacher,4.506487383439679,25.3094482421875,2.8457379721028695
雾霾7\494.png,w/o trajectory selection,5.169680377138699,25.04156494140625,2.7779293878098614
雾霾7\494.png,w/o QAT (post-quant),3.954435432546936,25.69635009765625,2.908920952881579
雾霾7\494.png,Full (DT--QAT),4.33394017456565,25.4613037109375,2.8629126600297896
雾霾7\495.png,w/o Rich teacher,4.1899813765700875,22.38470458984375,3.3017480237085164
雾霾7\495.png,w/o trajectory selection,5.454851542132919,21.21240234375,3.1984625475333726
