method,n,CL_mean,CL_std,defect_background_contrast_mean,defect_background_contrast_std,defect_background_contrast_gain_mean,defect_background_contrast_gain_std,cnr_mean,cnr_std,cnr_gain_mean,cnr_gain_std,background_hf_gain_mean,background_hf_gain_std,defect_hf_gain_mean,defect_hf_gain_std,hf_selectivity_mean,hf_selectivity_std,saliency_auc_mean,saliency_auc_std,saliency_best_dice_mean,saliency_best_dice_std,mae_vs_input_mean,mae_vs_input_std,ssim_vs_input_mean,ssim_vs_input_std
Input,20,nan,nan,28.633213233947753,9.255692325228567,1.0,0.0,0.6286451823891671,0.22943939318588208,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4447256766066885,0.1788463495987979,0.030678097715413365,0.026452827483841777,0.0,0.0,1.0,0.0
Fixed CLAHE (CL=2.0),20,2.0,0.0,42.94284496307373,13.1993313913012,1.5119066929694132,0.3013094923025323,0.5857181140051072,0.20710637811957539,0.9273171017816945,0.1500785287595943,3.094656527042389,0.5137772744906234,2.5673461496829986,0.642018076480895,0.8337631457102568,0.17273682350205463,0.40968099306141176,0.2127415257897128,0.027921047875960302,0.023672947013399004,24.318699502944945,7.753564643160467,0.8690199665098725,0.03907678752803439
Rule-based Adaptive CLAHE,20,9.124575279638446,0.6805952063254005,46.58087005615234,14.072900836395405,1.6432986223034434,0.43875335784533276,0.516379140799674,0.1734449888239229,0.8291901902449722,0.219327707735384,4.78685576915741,0.9076363126267402,4.5863790035247805,0.9600524168814167,0.9698312145488716,0.17471461277292527,0.4219206816662272,0.16254487936011347,0.03130197615380658,0.02361645182053871,37.56965675354004,6.001453262225121,0.7576417407100431,0.0531594177365554
Proposed DT-QAT Student,20,1.1713625909905805,0.771850691965491,36.12312068939209,11.23300946938512,1.2986533894601728,0.3627401569065118,0.6032948733345491,0.21771303958965052,0.95138975453525,0.15076282006948497,2.1887436866760255,1.0102618823749299,1.8320077776908874,0.8186302953768839,0.8559129858796684,0.13395539252299843,0.42021780788229296,0.19902803569961874,0.0280056588771802,0.023708920044631047,15.606191778182984,13.211071477924088,0.9267441531656526,0.07666829898517498
