teacher,n,min,max,mean,std,mean_abs,p95_abs,unique_rounded_0p001
all,3000,-1.996464490890503,1.9972119331359863,-0.6419711742401123,0.8838967504315021,0.9271509482065836,1.861485475301742,1762
lite,1025,-1.9677104949951172,1.9972119331359863,-0.5207927106066448,0.9300390266494691,0.8879884712870528,1.8496810436248778,764
rich,1975,-1.996464490890503,1.9385054111480713,-0.7048612629612789,0.8524487691483226,0.9474757780002643,1.8808780193328856,1288
