dqn_action_bins,action_step,mean_abs_action_error,p95_abs_action_error,max_abs_action_error,mean_abs_final_cl_error,p95_abs_final_cl_error,max_abs_final_cl_error
5,1.0,0.24943434739112855,0.47416616678237905,0.49997830390930176,0.3996815912326177,1.1790342330932613,1.8038746118545532
9,0.5,0.12520048451423646,0.23736819624900818,0.2498413324356079,0.2086803361972173,0.603872150182724,0.9905414581298828
17,0.25,0.06337185390790304,0.11930229663848876,0.12497210502624512,0.10718436173597971,0.3080602765083311,0.48302435874938965
33,0.125,0.03085682209332784,0.059375613927841187,0.062487125396728516,0.05052388815085093,0.14672017097473145,0.22142887115478516
65,0.0625,0.015591440359751383,0.029686653614044184,0.031242847442626953,0.02609998373190562,0.07166545391082761,0.11138403415679932
