method,Q_BRISQUE,Q_NIQE,H_Shannon,C_RMS,G_avg,C_local
Input,29.665653170072115,4.126164610322127,6.4524416043208195,37.42457989487101,4.4570016145706175,0.129471851971287
Global HE,32.47505727914663,3.9971497386001253,6.31139016518226,74.362628909273,11.026381516456604,0.16083968453682385
Fixed CLAHE (CL=2.0),23.52268817608173,3.6476821130430483,7.026250208341159,45.31155747016501,8.153057274451623,0.12286538877166235
Rule-based Adaptive CLAHE,30.785514009915865,3.75802418191205,7.592696182544415,57.380485492375655,13.77786914385282,0.15490725458814547
Adaptive Gamma Correction,27.92135009765625,3.986990135057494,6.42909144621629,39.416896501728736,4.952389942682706,0.10902118725845447
MSR Retinex,28.28383319561298,4.018937253313365,6.232799368638259,28.268643883486988,5.860230539395259,0.043325794223122875
SAC Single-Teacher,24.106044358473557,3.620734812877367,7.009607494794405,45.26528408364272,8.062152554438665,0.12304569522921856
Proposed: Dual-Teacher Distill + QAT Student,23.38861365685096,3.5936134653710545,6.92954793709975,42.96190763465264,7.432499463741596,0.11947712909716826
