scene,method,n,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std
低照度20,Input,20,40.03385925292969,7.95924982891083,4.460275350583206,0.5897824428831437
低照度20,Global HE,20,44.5408447265625,6.7639646497252395,4.455415851065631,0.47699942474031587
低照度20,Fixed CLAHE (CL=2.0),20,27.245211791992187,4.7045325640532605,3.565542300187706,0.3672782357332388
低照度20,Rule-based Adaptive CLAHE,20,35.6550048828125,4.100120590056972,3.604493333726219,0.2412908961019594
低照度20,Adaptive Gamma Correction,20,35.5411865234375,7.076125690357089,4.175920575066492,0.5036310669473703
低照度20,MSR Retinex,20,33.74315490722656,5.800272591434523,4.135915339543095,0.3276162036382321
低照度20,SAC Single-Teacher,20,27.23157958984375,4.4733338671717515,3.510108649859042,0.2813588610247878
低照度20,Proposed: Dual-Teacher Distill + QAT Student,20,27.13275146484375,4.61132620327963,3.5955231415110163,0.3483419855157945
室内13,Input,13,15.58068378155048,6.273498542453309,4.277132735529223,0.6571080081370928
室内13,Global HE,13,14.560791015625,6.690793403049268,4.0133113962674045,0.49211000447731357
室内13,Fixed CLAHE (CL=2.0),13,15.998197115384615,5.747846886784562,4.121156023910232,0.528391164377685
室内13,Rule-based Adaptive CLAHE,13,22.934593787560097,5.988465431898395,4.492958817443599,0.4936807295585387
室内13,Adaptive Gamma Correction,13,15.778883713942308,6.230895944335497,4.292801785258373,0.6562096148180633
室内13,MSR Retinex,13,16.88903339092548,8.325093038139993,4.383421131512223,0.7665302347446047
室内13,SAC Single-Teacher,13,18.980140099158653,6.10369520195514,4.208778250623343,0.596954779901874
室内13,Proposed: Dual-Teacher Distill + QAT Student,13,16.714003342848557,5.505638949532952,4.138834636200814,0.5584289275513774
户外3,Input,3,28.46502685546875,1.664135784675626,4.2816390864353755,0.3451667573677785
户外3,Global HE,3,29.600179036458332,5.369145100687566,4.773360162941602,0.34384272211913214
户外3,Fixed CLAHE (CL=2.0),3,31.331075032552082,6.651684717856373,4.912134208737974,0.5671800969134709
户外3,Rule-based Adaptive CLAHE,3,35.846171061197914,7.891510405846185,5.52516282244203,0.8902766789821158
户外3,Adaptive Gamma Correction,3,28.069173177083332,1.7446756186727843,4.229435385196508,0.3132466008725032
户外3,MSR Retinex,3,27.342610677083332,1.7774358970034558,4.062987778769382,0.1785318410517129
户外3,SAC Single-Teacher,3,28.655863444010418,1.9795772366099322,4.307528409254325,0.3629934302984192
户外3,Proposed: Dual-Teacher Distill + QAT Student,3,28.6185302734375,1.9718014375791122,4.341219893048458,0.30637134632545204
