group,metric,n,A_mean,B_mean,A_std,B_std,A_worst_mean,B_worst_mean,A_p90,A_p95,B_p90,B_p95,diff_mean,ci_mean_lo,ci_mean_hi,diff_worst_mean,ci_worst_mean_lo,ci_worst_mean_hi,diff_p90,ci_p90_lo,ci_p90_hi,diff_p95,ci_p95_lo,ci_p95_hi,perm_p_mean,perm_p_worst_mean,perm_p_p90,perm_p_p95,method_A,method_B,hardcase_frac,worst_frac
ALL,Q_BRISQUE,65,23.38861365685096,23.52268817608173,7.786820702892887,7.684849563439499,33.785731724330354,35.29435511997768,31.99739990234375,32.3997314453125,31.9644287109375,34.3482177734375,-0.13728501549353964,-0.8854845721905046,0.6247554837740384,-1.461187997000558,-3.609624808175223,0.2142508370535694,-0.2730548962402342,-2.7722412109375014,0.5681030273437493,-1.459565351562499,-5.5687011718749915,0.6233398437500028,0.7337633118344082,0.19309034548272586,1.0,0.4985750712464377,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
ALL,Q_NIQE,65,3.5936134653710545,3.647682113043049,0.606135430013668,0.6364382063086038,4.715532620805748,4.843216582619488,4.410572744405733,4.735232625224984,4.526666064553679,4.7424660256266,-0.054237431965916655,-0.12334857024756402,0.008219672747199194,-0.1394263478424,-0.44603549464203046,0.08191673351343116,-0.12650395906444212,-0.48254036258338184,0.09912134642714054,-0.04781287403502981,-0.5042393166911603,0.14887213485153072,0.12309384530773461,0.5803709814509275,0.49962501874906257,0.904654767261637,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::低照度20,Q_BRISQUE,20,27.13275146484375,27.245211791992187,4.61132620327963,4.7045325640532605,32.940521240234375,33.754058837890625,32.1339111328125,32.467202758789064,32.449530029296874,32.86282043457032,-0.10977310974121092,-0.5842648315429682,0.25715377807617257,-0.7201486267089844,-2.77325439453125,0.70263671875,-0.303100288085937,-2.878975524902342,0.70263671875,-0.5363898577880868,-2.9049072265625,0.70263671875,0.7039296070392961,1.0,1.0,1.0,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::低照度20,Q_NIQE,20,3.5955231415110163,3.565542300187706,0.3483419855157945,0.3672782357332388,4.2172458732179745,4.245971532064506,4.020001942668129,4.071109248159703,4.035502822440704,4.059324335789775,0.02996027106848435,0.003393789616314269,0.06129670204752093,-0.023158338013606533,-0.07373740464259804,0.06681803548775278,0.016993811374040376,-0.07373740464259804,0.10895223561716838,-0.006794447960888675,-0.07373740464259804,0.10449020240518747,0.053094690530946904,0.752024797520248,1.0,1.0,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::室内13,Q_BRISQUE,13,16.714003342848557,15.998197115384615,5.505638949532952,5.747846886784562,22.801666259765625,25.934814453125,22.141796875,22.669750976562497,24.514843750000004,25.857507324218748,0.7198816274789664,-0.6695185734675454,2.1317866398737952,-1.7619549682617188,-3.40618896484375,3.61944580078125,-0.7153526367187509,-3.40618896484375,5.121826171875,-1.6218548437499982,-3.40618896484375,3.548205566406253,0.35706429357064295,0.5051494850514948,0.5051494850514948,0.5051494850514948,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::室内13,Q_NIQE,13,4.138834636200814,4.121156023910232,0.5584289275513773,0.5283911643776851,4.866633446308903,4.809865632213217,4.825705114425856,4.859619531804032,4.7424660256266,4.796526523728473,0.017902746022965793,-0.11882563244518264,0.1399729827960499,0.05492647947482386,0.012102438513919012,0.14921517513551663,0.06570852285987648,-0.0009369671684869019,0.18459568873348609,0.05697177106230016,0.00949455737743854,0.16367191967681904,0.8085191480851914,0.253974602539746,0.49525047495250474,0.253974602539746,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::正常街道10,Q_BRISQUE,10,28.1527587890625,28.31024169921875,7.791006030755797,7.838887357693102,38.63446044921875,40.73046875,35.749011230468746,37.191735839843744,36.446075439453125,38.588272094726555,-0.1595858642578125,-0.8667863464355496,0.4935070800781261,-1.4545697265625,-2.09600830078125,0.55010986328125,-0.6948631262207038,-2.09600830078125,0.7928833007812521,-1.074716426391601,-2.09600830078125,0.55010986328125,0.6698330166983302,1.0,0.5017498250174982,0.5017498250174982,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::正常街道10,Q_NIQE,10,3.0858538572453273,3.0906613050607357,0.8280804175631817,0.7129670531835097,4.044986025559906,4.145437302558976,4.00833268322649,4.026659354393198,3.8269090716561793,3.9861731871075774,-0.004629957591007512,-0.10574805921046815,0.09635254055077869,-0.0010919082449047527,-0.1411772129250881,0.2534689795595928,0.0872015661813891,-0.1411772129250881,0.2534689795595928,0.04305482896824228,-0.1411772129250881,0.2534689795595928,0.925007499250075,1.0,0.7539246075392461,0.7539246075392461,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::过曝5,Q_BRISQUE,5,28.92796630859375,23.26748046875,1.2304508332053126,1.5611363090314667,30.6806640625,25.80523681640625,30.217236328125,30.4489501953125,24.93853759765625,25.37188720703125,5.670554697265625,4.066613769531251,7.414514160156251,5.247695776367188,3.05230712890625,8.0509033203125,5.430393715820312,3.05230712890625,8.1282958984375,5.339044746093751,3.05230712890625,8.089599609375,0.062993700629937,0.062993700629937,0.062993700629937,0.062993700629937,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::过曝5,Q_NIQE,5,3.196500304187107,3.0077596560735778,0.24113790681748512,0.14568948467472573,3.487674342502489,3.129362433766342,3.4291480876015195,3.458411215052004,3.113319497051305,3.1213409654088236,0.18939005589462954,0.07995742408854811,0.31800448866628717,0.3173868127618171,0.12046843164503107,0.3984192505237396,0.28770150568152963,0.07561344253461488,0.3984192505237396,0.3025441592216734,0.09804093708982276,0.3984192505237396,0.062993700629937,0.25437456254374563,0.25437456254374563,0.25437456254374563,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::雾霾7,Q_BRISQUE,7,22.584298270089285,25.573259626116073,3.58631403639296,2.9304389366557584,28.01800537109375,29.66094970703125,26.483984375000002,27.250994873046874,28.3441650390625,29.002557373046873,-2.979066854422433,-5.180568150111608,-0.942583356584823,-1.8335411743164063,-5.11322021484375,1.12274169921875,-2.0868410180664054,-6.572241210937499,1.12274169921875,-1.9601910961914066,-5.842730712890628,1.12274169921875,0.0638936106389361,1.0,0.37936206379362064,0.632936706329367,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::雾霾7,Q_NIQE,7,3.2788120202490396,3.7747859323830872,0.3301597795708656,0.33651001460467483,3.82419533740603,4.31251624495724,3.6128303696707778,3.7185128535384036,4.183347135029829,4.247931689993534,-0.49578787744863323,-0.6653430308751902,-0.30343444716035484,-0.5176286108092566,-0.8405958537766303,0.001448328625239359,-0.5173358036660666,-0.8405958537766303,0.001448328625239359,-0.5174822072376615,-0.8405958537766303,0.001448328625239359,0.032296770322967704,0.5022497750224978,0.06359364063593641,0.06359364063593641,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::黑夜7,Q_BRISQUE,7,12.887102399553571,14.806867327008929,7.927478812612982,6.746086083300343,28.122314453125,28.525146484375,20.029272460937506,24.07579345703124,21.479394531250005,25.00227050781249,-1.9464381975446428,-4.881609235491071,0.7642909458705365,-1.0297580932617187,-3.78875732421875,-0.40283203125,-1.3572136816406248,-3.78875732421875,1.6667724609375014,-1.1934858874511722,-3.78875732421875,0.6319702148437507,0.2672732726727327,1.0,0.37876212378762125,0.2528747125287471,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
SCENE::黑夜7,Q_NIQE,7,3.5790254620014537,3.586878221334321,0.3206842722773362,0.38568394971635417,3.9090262969238,3.998970452039453,3.8773911027127985,3.8932086998182993,3.966208890825025,3.982589671432239,-0.006844299751218643,-0.09433588164259188,0.05819075853978852,-0.08527410892874897,-0.22587864445009087,0.048585422238453635,-0.07461023442285679,-0.22587864445009087,0.05880299022034574,-0.0799421716758029,-0.22587864445009087,0.05369420622939991,0.8754124587541245,0.5096490350964904,0.5096490350964904,0.5096490350964904,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::InputTop20,Q_BRISQUE,13,29.711261455829327,30.905803973858173,4.212350711510101,2.7012279116210522,34.447418212890625,35.357177734375,33.25606689453125,34.251220703125,34.348217773437504,35.234606933593746,-1.2109552480844352,-2.799448805588942,0.08782066932091535,-0.7057612487792969,-2.48565673828125,0.70263671875,-0.6922734936523444,-2.694262695312503,0.70263671875,-0.7092516821289051,-2.516845703125,0.70263671875,0.21837816218378162,0.5014498550144986,1.0,0.5014498550144986,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::InputTop20,Q_NIQE,13,3.8027825642491635,3.902953003454014,0.32752738438020873,0.29492139548159035,4.2172458732179745,4.382936775330169,4.047122978107157,4.18477106764947,4.279100456477587,4.368852669255583,-0.1017805847250195,-0.2603064025487846,0.01905140379853387,-0.13242686870729237,-0.300174653350159,-0.001107063807107256,-0.13858387033973354,-0.3082561553233516,0.019711571377547976,-0.13472188953030184,-0.3009318368355389,0.013713390535033771,0.30886911308869114,0.25207479252074794,0.37746225377462256,0.25207479252074794,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::BaseTop20,Q_BRISQUE,13,32.65644249549279,33.4883798452524,2.173589070467273,3.1063171808737757,37.03143310546875,39.56683349609375,35.0360107421875,36.71082763671875,37.91656494140625,39.3341064453125,-0.8349312725360576,-2.2812968327448906,0.24654576228215375,-2.3870522766113282,-5.462677001953125,-0.287628173828125,-2.3865951586914065,-6.003466796875003,0.5621093749999986,-2.397325637207032,-5.567858886718753,-0.08957519531249858,0.28997100289971,0.25237476252374763,0.2522747725227477,0.25237476252374763,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::BaseTop20,Q_NIQE,13,3.8169028557766578,3.8634675057629124,0.4071517323386512,0.6240416064775047,4.486069772763703,4.996001048678325,4.306921422655196,4.464779798423062,4.391773305074273,4.887472300083278,-0.04689117027997687,-0.21709081976739458,0.06608495040148893,-0.46998648291011175,-0.9461251471866454,0.017607415487285394,-0.2648490894179649,-0.9461251471866454,0.10393780874407327,-0.43638359350983175,-0.9461251471866454,0.03587637951326261,0.8287171282871713,0.49605039496050396,0.25207479252074794,0.49605039496050396,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::UnionTop20,Q_BRISQUE,19,30.698489540501644,31.9358841745477,4.051746423020062,3.5126459845916775,37.03143310546875,39.56683349609375,33.85882568359375,35.749011230468746,36.4566650390625,38.63592529296874,-1.2412570871453537,-2.5751676057514414,-0.10859840794613548,-2.344136962890625,-5.462677001953125,-0.27081298828125,-2.1471736401367183,-5.98858642578125,0.45378417968750284,-2.3720692578124996,-5.883404541015629,0.42277221679687926,0.09009099090090991,0.24707529247075294,0.3705629437056294,0.24707529247075294,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::UnionTop20,Q_NIQE,19,3.77586749470299,3.8739506495551783,0.38120860401594675,0.5255671983852988,4.486069772763703,4.996001048678325,4.119821456512461,4.4009098754011395,4.340684457106411,4.5618860542981405,-0.09828973408749092,-0.24898809325337037,0.02480221360188472,-0.4889490886108084,-0.9461251471866454,-0.03713968511699495,-0.22056136660068468,-0.9461251471866454,0.033687833169788184,-0.3670377600782416,-0.9461251471866454,-0.008024025718385452,0.23887611238876114,0.49705029497050296,0.24707529247075294,0.49705029497050296,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::InterTop20,Q_BRISQUE,7,32.50126429966518,32.90608433314732,1.5208321303727095,1.8162129643582348,35.42840576171875,35.97003173828125,34.251220703125,34.839813232421875,35.23460693359375,35.6023193359375,-0.4076195678710935,-1.5166800362723194,0.33396824428013056,-0.691891357421875,-2.3297119140625,0.70263671875,-0.7322598144531256,-2.516845703125,0.70263671875,-0.7120755859374999,-2.42327880859375,0.70263671875,0.7738226177382261,1.0,0.49565043495650435,0.49565043495650435,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
HARD::Q_BRISQUE::InterTop20,Q_NIQE,7,3.9020611515684065,3.9083434683245244,0.3110827763743438,0.3533143544069865,4.379619901060499,4.453357305703097,4.161524465844589,4.270572183452543,4.268605303816625,4.360981304759861,-0.006548810141995982,-0.06406850626780185,0.050669785825423475,-0.08109128197872664,-0.13688162837879592,-0.022458249391933194,-0.07163473271160817,-0.13945897910657123,0.05638804161352784,-0.07636300734516747,-0.13817030374268402,0.016964896110797323,0.8454154584541546,1.0,0.24297570242975702,0.24297570242975702,Proposed: Dual-Teacher Distill + QAT Student,Fixed CLAHE (CL=2.0),0.2,0.1
