method,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std,H_Shannon_mean,H_Shannon_std,C_RMS_mean,C_RMS_std,G_avg_mean,G_avg_std,C_local_mean,C_local_std
Input,29.665653170072115,12.828897904166416,4.126164610322127,0.8020386221983403,6.4524416043208195,1.0051728985752708,37.42457989487101,18.223783238838074,4.4570016145706175,3.6320755201245354,0.129471851971287,0.1267746366664943
Global HE,32.47505727914663,14.353277408247878,3.9971497386001253,0.6418209610312072,6.31139016518226,0.9553717481803363,74.362628909273,1.9603737733896665,11.026381516456604,6.237104026132055,0.16083968453682385,0.09636623681377296
Fixed CLAHE (CL=2.0),23.52268817608173,7.684849563439499,3.6476821130430483,0.6364382063086038,7.026250208341159,0.7827940898312387,45.31155747016501,14.282987447809836,8.153057274451623,5.555093048536604,0.12286538877166235,0.06193070053097596
Rule-based Adaptive CLAHE,30.785514009915865,8.59899496748022,3.75802418191205,0.7156184313652851,7.592696182544415,0.4254912833850616,57.380485492375655,8.272276809278747,13.77786914385282,6.206340921356119,0.15490725458814547,0.06299467529354687
Adaptive Gamma Correction,27.92135009765625,10.80533647219933,3.986990135057494,0.7681159633005625,6.42909144621629,0.9935084615946558,39.416896501728736,15.114733224522546,4.952389942682706,3.327357212317625,0.10902118725845447,0.11387733528681997
MSR Retinex,28.28383319561298,10.423721113664978,4.018937253313365,0.6964834151927486,6.232799368638259,0.3861947575392624,28.268643883486988,7.87115387302509,5.860230539395259,2.6907711631946882,0.043325794223122875,0.02130205158116037
SAC Single-Teacher,24.106044358473557,7.957002047401024,3.620734812877367,0.6338972898829397,7.009607494794405,0.8153980168312336,45.26528408364272,13.472104628748998,8.062152554438665,5.00071563671358,0.12304569522921856,0.05815262830716448
Proposed: Dual-Teacher Distill + QAT Student,23.38861365685096,7.786820702892887,3.5936134653710545,0.606135430013668,6.92954793709975,0.8140911661840108,42.96190763465264,14.68951218446507,7.432499463741596,4.866033051979739,0.11947712909716826,0.05679809010377662
